model,model_key,condition,direction,subtask,metric,score,n,signature,source_file,ci95_low,ci95_high
GLM-4-9B,glm_4_9b_chat_hf,original,en_to_zh,terminology,terminology_success_rate,0.12489592006661115,1201,,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,original,en_to_zh,sentence,corpus_bleu,23.212344640360964,116,nrefs:1|case:mixed|eff:yes|tok:zh|smooth:exp|version:2.6.0,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,original,en_to_zh,sentence,chrf_pp,21.129731293645516,116,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,original,zh_to_en,terminology,COMET,0.487404158011662,1201,Unbabel/wmt22-comet-da,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_domain_qa_generations_comet.json,0.4772868421576998,0.4977172568601732
GLM-4-9B,glm_4_9b_chat_hf,original,zh_to_en,sentence,COMET,0.6670234046619514,116,Unbabel/wmt22-comet-da,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_domain_qa_generations_comet.json,0.6453304963892904,0.689139741761931
GLM-4-9B,glm_4_9b_chat_hf,original,en_to_zh,terminology,COMET,0.5110902606100961,1201,Unbabel/wmt22-comet-da,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_domain_qa_generations_comet.json,0.5003915080098089,0.5223216281941689
GLM-4-9B,glm_4_9b_chat_hf,original,en_to_zh,sentence,COMET,0.7416717911074902,116,Unbabel/wmt22-comet-da,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_domain_qa_generations_comet.json,0.7141160833938368,0.7693020367416842
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,zh_to_en,terminology,corpus_bleu,1.795565479985304,1201,nrefs:1|case:mixed|eff:yes|tok:13a|smooth:exp|version:2.6.0,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,zh_to_en,terminology,chrf_pp,16.685027414312604,1201,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,zh_to_en,terminology,terminology_success_rate,0.12239800166527894,1201,,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,zh_to_en,sentence,corpus_bleu,11.291737418323246,116,nrefs:1|case:mixed|eff:yes|tok:13a|smooth:exp|version:2.6.0,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,zh_to_en,sentence,chrf_pp,31.27953268370769,116,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,en_to_zh,terminology,corpus_bleu,3.585802697542022,1201,nrefs:1|case:mixed|eff:yes|tok:zh|smooth:exp|version:2.6.0,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,en_to_zh,terminology,chrf_pp,2.489818294747035,1201,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,en_to_zh,terminology,terminology_success_rate,0.06827643630308076,1201,,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,en_to_zh,sentence,corpus_bleu,24.805450623457062,116,nrefs:1|case:mixed|eff:yes|tok:zh|smooth:exp|version:2.6.0,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,en_to_zh,sentence,chrf_pp,13.673690404265907,116,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,zh_to_en,terminology,COMET,0.5089145596080974,1201,Unbabel/wmt22-comet-da,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_domain_qa_generations_comet.json,0.501792151589477,0.5165029272350244
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,zh_to_en,sentence,COMET,0.5994087290661089,116,Unbabel/wmt22-comet-da,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_domain_qa_generations_comet.json,0.5615968717069462,0.641295331305471
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,en_to_zh,terminology,COMET,0.48492618752558164,1201,Unbabel/wmt22-comet-da,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_domain_qa_generations_comet.json,0.47668165539226165,0.4937546465120943
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,en_to_zh,sentence,COMET,0.6141805073310589,116,Unbabel/wmt22-comet-da,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_domain_qa_generations_comet.json,0.5720119846278223,0.6576342084284487
GLM-4-9B,glm_4_9b_chat_hf,qlora,zh_to_en,terminology,corpus_bleu,0.0,1201,nrefs:1|case:mixed|eff:yes|tok:13a|smooth:exp|version:2.6.0,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,qlora,zh_to_en,terminology,chrf_pp,0.0,1201,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,qlora,zh_to_en,terminology,terminology_success_rate,0.0,1201,,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,qlora,zh_to_en,sentence,corpus_bleu,1.1317414121924055e-65,116,nrefs:1|case:mixed|eff:yes|tok:13a|smooth:exp|version:2.6.0,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,qlora,zh_to_en,sentence,chrf_pp,0.008680391024596341,116,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,qlora,en_to_zh,terminology,corpus_bleu,0.0,1201,nrefs:1|case:mixed|eff:yes|tok:zh|smooth:exp|version:2.6.0,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,qlora,en_to_zh,terminology,chrf_pp,0.0,1201,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,qlora,en_to_zh,terminology,terminology_success_rate,0.0,1201,,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,qlora,en_to_zh,sentence,corpus_bleu,2.6435836637875912e-19,116,nrefs:1|case:mixed|eff:yes|tok:zh|smooth:exp|version:2.6.0,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,qlora,en_to_zh,sentence,chrf_pp,0.058335257924442205,116,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,qlora,zh_to_en,terminology,COMET,0.5104447542554036,1201,Unbabel/wmt22-comet-da,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_domain_qa_generations_comet.json,0.5062824080602811,0.5151227722184842
GLM-4-9B,glm_4_9b_chat_hf,qlora,zh_to_en,sentence,COMET,0.3475780643779656,116,Unbabel/wmt22-comet-da,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_domain_qa_generations_comet.json,0.3396393941908047,0.3563904918987176
GLM-4-9B,glm_4_9b_chat_hf,qlora,en_to_zh,terminology,COMET,0.516012815809766,1201,Unbabel/wmt22-comet-da,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_domain_qa_generations_comet.json,0.5116580902636796,0.5206216220603597
GLM-4-9B,glm_4_9b_chat_hf,qlora,en_to_zh,sentence,COMET,0.343373314573847,116,Unbabel/wmt22-comet-da,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_domain_qa_generations_comet.json,0.33294235041429254,0.35401275265833426
